12,926,1,926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,D13,,,SSR8,,,SSR4,,,Pi04,,,Pi70,,,SSR6,,,Pi63,,,G11,,,SSR3,,,SSR11,,,SSR2,,,Pi4B,,
PAMA020,PE3,0,146,146,0,266,266,0,290,294,0,166,166,0,192,195,0,244,244,0,279,279,0,156,162,0,268,268,0,341,355,0,175,175,0,205,217
PAMA020-FTA,PE3,0,142,144,0,266,266,0,290,294,0,166,166,0,192,195,0,244,244,0,279,279,0,156,162,0,268,268,0,341,355,0,175,175,0,205,217
PAMA021-FTA,EC1,0,136,140,0,264,266,0,284,296,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,213,221
PAMA022-FTA,EC1,0,136,140,0,264,266,284,296,298,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,213,221
PAMA023-FTA,PE3,0,142,142,0,264,266,0,290,294,0,166,170,0,192,195,0,244,244,0,279,279,0,156,166,0,268,268,0,341,355,0,175,175,0,205,217
PAMA024,PE3,0,146,146,0,266,266,0,290,294,0,166,170,0,192,195,0,244,244,0,279,279,0,156,162,0,268,268,0,341,355,0,175,175,0,205,217
PAMA024-FTA,PE3,0,142,142,0,266,266,0,288,292,0,166,170,0,192,195,0,244,244,0,279,279,0,156,166,0,268,268,0,341,355,0,175,175,0,205,217
PAMA025,PE3,0,146,146,0,266,266,0,290,296,0,166,170,0,192,195,0,244,244,0,279,279,0,156,166,0,268,268,0,341,355,0,175,175,0,205,217
PAMA025-FTA,PE3,0,146,146,0,266,266,0,290,294,0,166,170,0,192,195,0,244,244,0,279,279,0,156,162,0,268,268,0,341,355,0,175,175,0,205,217
PAMA026,EC1,0,136,140,0,264,266,284,294,296,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,213,221
PAMA026-FTA,EC1,0,140,144,0,264,266,0,284,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,213,221
PAMA027,PE3,0,142,142,0,266,266,0,290,294,0,166,170,0,192,195,0,244,244,0,279,279,0,156,166,0,268,268,0,341,355,0,175,175,0,205,217
PAMA028,EC1,0,136,136,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,213,217
PAMA028-FTA,EC1,0,136,140,0,264,266,284,294,296,0,166,166,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,213,221
PAMA029-FTA,PE3,0,142,142,0,266,266,0,290,294,0,166,170,0,192,195,0,244,244,0,279,279,0,156,166,0,268,268,0,341,355,0,175,175,0,205,217
