12,926,1,926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,D13,,,SSR8,,,SSR4,,,Pi04,,,Pi70,,,SSR6,,,Pi63,,,G11,,,SSR3,,,SSR11,,,SSR2,,,Pi4B,,
PAN060-FTA,EC1,0,134,136,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,209,217
PAN061-FTA,EC1,0,134,136,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,209,217
PAN062-FTA,EC1,0,134,136,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,209,217
PAN063-FTA,EC1,0,134,136,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,209,217
PAN064-FTA,EC1,0,134,136,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,0,204,209
PAN065-FTA,EC1,0,134,136,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,209,217
PAN066-FTA,EC1,0,134,136,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,209,217
PAPU005,EC1,0,134,136,0,264,266,284,292,298,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,266,268,0,331,355,0,173,175,204,213,217
PAPU013,EC1,0,136,136,0,266,266,284,294,296,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,266,268,0,331,355,0,173,173,0,213,217
PAR001,EC1,0,134,136,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,213,217
PAR004,PE3,0,138,138,0,266,266,0,292,294,0,166,170,0,192,195,0,244,244,0,279,279,0,156,166,0,268,268,0,341,355,0,175,175,0,205,217
PAR006,PE3,132,134,136,0,266,266,0,288,292,0,166,170,0,192,195,0,244,244,0,279,279,0,160,166,0,268,268,0,341,355,0,175,175,0,205,217
PCA001,PE3,0,148,148,0,266,266,0,290,292,0,166,170,0,192,195,0,244,244,0,279,279,0,156,168,0,268,268,0,341,355,0,175,175,0,205,217
PCA002,PE3,0,154,154,0,266,266,0,290,298,0,166,170,0,192,195,0,244,244,0,279,279,0,156,164,0,268,268,0,341,355,0,175,175,0,205,217
PCA002-FTA,EC1,132,134,146,0,264,266,0,288,292,0,166,170,0,192,192,0,248,250,0,279,279,0,156,158,0,268,268,0,341,355,0,173,175,204,209,217
PCA003,PE3,0,152,152,0,266,266,0,290,292,0,166,170,0,192,195,0,244,244,0,279,279,0,156,166,0,268,268,0,341,355,0,175,175,0,205,217
PCA004,PE3,0,148,154,0,266,266,0,290,292,0,166,170,0,192,195,0,244,244,0,279,279,0,156,166,0,268,268,0,341,355,0,175,175,0,205,217
PCA007-FTA,EC1,0,136,140,0,264,266,284,294,296,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,0,204,213
PCA008-FTA,EC1,0,136,140,0,264,266,284,294,296,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,0,204,213
PCA009-FTA,EC1,0,136,140,0,264,266,284,294,296,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,0,204,213
PCA010-FTA,EC1,0,136,140,0,264,266,284,294,296,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,0,204,213
PCA011-FTA,EC1,0,136,136,0,264,266,282,286,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,213,217
PCA012-FTA,EC1,0,136,136,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,213,217
PCA013-FTA,EC1,0,136,140,0,264,266,284,294,296,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,213,221
PCA014-FTA,EC1,0,136,136,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,213,217
PCA015-FTA,EC1,0,136,136,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,213,217
PCA016,EC1,0,136,136,0,264,266,0,284,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,274,0,331,355,0,173,173,204,213,217
PCA016-FTA,EC1,0,136,136,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,213,217
PCA017,EC1,0,136,136,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,213,217
PCA017-FTA,EC1,0,132,136,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,160,0,268,268,0,331,355,0,173,175,204,213,217
PCA018-FTA,EC1,0,136,136,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,213,217
PCA019,US1,134,138,152,0,266,266,0,290,292,0,166,170,189,192,195,0,244,244,270,273,279,152,156,162,260,266,268,0,341,355,173,175,177,204,213,217
PCA019-FTA,EC1,0,136,138,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,213,217
PCA020,PE7,118,136,154,0,260,266,0,288,294,0,168,168,0,192,192,0,244,244,0,279,279,0,142,148,0,266,268,331,341,355,0,173,175,0,213,217
PCA020-FTA,EC1,0,136,140,0,264,266,284,294,296,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,213,221
PCA021,PE3,0,142,142,0,266,266,0,292,294,0,166,170,0,192,195,0,244,244,0,270,279,0,156,166,0,268,268,0,341,355,0,175,175,0,205,217
PCA021-FTA,EC1,0,130,136,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,213,217
PCA022,EC1,0,136,136,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,213,217
PCA022-FTA,EC1,0,136,136,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,213,217
PCA023,PE7,118,136,154,0,260,266,0,288,294,0,168,168,0,192,192,0,244,244,0,279,279,0,142,148,0,266,268,331,341,355,0,173,175,0,213,217
PCA023-FTA,EC1,0,136,136,0,264,266,284,292,294,0,166,170,0,192,192,0,244,246,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,213,217
PCA024,EC1,0,136,136,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,213,217
PCA024-FTA,EC1,0,136,136,0,264,266,284,292,298,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,264,268,0,331,355,0,173,175,204,213,217
PCA025,US1,0,136,140,0,266,266,286,290,300,0,166,170,0,189,192,0,244,254,270,273,279,154,162,198,0,266,266,331,341,355,0,173,177,213,215,217
PCA025-FTA,EC1,0,136,136,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,270,279,0,156,156,0,268,268,0,331,355,0,173,175,204,213,217
PCA026,EC1,0,134,136,0,264,266,284,292,300,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,213,217
PCA026-FTA,EC1,0,136,136,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,270,270,0,331,355,0,173,175,204,213,217
PCA027,US1,0,138,142,0,266,266,288,290,296,0,166,170,0,189,192,0,244,250,270,273,279,152,162,200,0,266,266,0,341,355,0,173,177,213,217,221
PCA027-FTA,PE3,0,144,146,0,266,266,0,292,294,0,166,170,0,192,195,0,244,244,0,279,279,0,156,162,0,268,268,0,341,355,0,175,175,0,205,217
PCA028,PE7,118,136,154,0,260,266,0,288,294,0,168,168,0,192,192,0,244,244,0,279,279,0,142,148,0,266,268,331,341,355,0,173,175,0,213,217
PCA028-FTA,PE3,0,148,150,0,266,266,0,290,294,0,166,170,0,192,195,0,244,244,0,279,279,0,156,166,0,268,268,0,341,355,0,175,175,0,205,217
PCA029,PE7,118,136,154,0,260,266,0,288,294,0,168,168,0,192,192,0,244,244,0,279,279,0,142,148,0,266,268,331,341,355,0,173,175,0,213,217
PCA029-FTA,PE3,0,148,150,0,266,266,0,290,294,0,166,170,0,192,195,0,244,244,0,279,279,0,156,166,0,268,268,0,341,355,0,175,175,0,205,217
PCA030-FTA,PE3,0,144,146,0,266,266,0,292,294,0,166,170,0,192,195,0,244,244,0,279,279,0,156,162,0,268,268,0,341,355,0,175,175,0,205,217
PCA031-FTA,EC1,0,136,140,0,264,266,0,284,296,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,0,204,213
PCA032-FTA,PE3,0,120,120,0,266,266,0,290,294,0,166,170,0,192,195,0,244,244,0,279,279,0,160,162,0,268,268,0,341,355,0,175,175,0,205,217
PCA033-FTA,PE3,0,120,120,0,266,266,0,290,294,0,166,170,0,192,195,0,244,244,0,279,279,0,160,162,0,268,268,0,341,355,0,175,175,0,205,217
PCA034,EC1,0,136,136,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,213,217
PCA035-FTA,PE3,0,120,120,0,262,262,0,294,294,0,166,166,0,192,195,0,244,244,0,279,279,0,160,162,0,268,268,0,341,355,0,173,175,0,205,217
PCA036-FTA,PE3,0,148,150,0,266,266,0,290,294,0,166,170,0,192,195,0,244,244,0,279,279,0,156,170,0,268,268,0,341,355,0,175,175,0,205,217
PCA037-FTA,PE3,0,120,120,0,266,266,0,290,294,0,166,170,0,192,195,0,244,244,0,270,279,0,160,162,0,268,268,0,341,355,0,175,175,0,205,217
PCA038-FTA,EC1,0,136,136,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,213,217
PCA039-FTA,PE3,0,146,146,0,266,266,0,290,294,0,166,170,0,192,195,0,244,244,0,279,279,0,156,158,0,268,268,0,341,355,0,175,175,0,205,217
PCA040-FTA,PE3,0,148,150,0,266,266,0,290,294,0,166,166,0,192,195,0,244,244,0,279,279,0,160,166,0,268,268,0,341,355,0,175,175,0,205,217
PCA041-FTA,PE3,0,120,120,0,266,266,0,290,294,0,166,170,0,192,195,0,244,244,0,279,279,0,160,162,0,268,268,0,341,355,0,175,175,0,205,217
PCA042-FTA,PE3,0,150,150,0,266,266,0,292,296,0,166,170,0,192,195,0,244,244,0,279,279,0,156,162,0,268,268,0,341,355,0,175,175,0,205,217
PCA043-FTA,PE3,0,120,120,0,266,266,0,290,294,0,166,170,0,192,195,0,244,244,0,279,279,0,160,162,0,268,268,0,341,355,0,175,175,0,205,217
PCA044-FTA,EC1,0,136,140,0,264,266,0,284,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,213,217
PCA057-FTA,PE3,0,150,150,0,266,266,0,290,294,0,166,170,0,192,195,0,244,244,0,279,279,0,156,166,0,268,268,0,341,355,0,175,175,0,205,217
PCA058-FTA,PE3,0,146,146,0,266,266,0,290,294,0,166,170,0,192,195,0,244,244,0,279,279,0,156,162,0,268,268,0,341,355,0,175,175,0,205,217
PCA059-FTA,PE3,0,148,150,0,266,266,0,290,294,0,166,170,0,192,195,0,244,244,0,279,279,0,156,166,0,268,268,0,341,355,0,175,175,0,205,217
PCA060-FTA,PE3,0,148,150,0,266,266,0,290,294,0,166,170,0,192,195,0,244,244,0,279,279,0,156,166,0,268,268,0,341,355,0,175,175,0,205,217
PCA061-FTA,PE3,0,144,146,0,266,266,0,290,296,0,166,170,0,192,195,0,244,244,0,279,279,0,156,162,0,268,268,0,341,355,0,175,175,0,205,217
PCA062-FTA,PE3,0,148,150,0,266,266,0,290,294,0,166,170,0,192,195,0,244,244,0,279,279,0,156,158,0,268,268,0,341,355,0,175,175,0,205,217
PCA063-FTA,PE3,0,146,148,0,266,266,0,290,294,0,166,170,0,192,195,0,244,244,0,279,279,0,156,166,0,268,268,0,341,355,0,175,175,0,205,217
PCA064-FTA,PE3,0,142,142,0,266,266,0,290,294,0,166,170,0,192,195,0,244,244,0,279,279,0,156,166,0,268,268,0,341,355,0,175,175,0,205,217
PCA066,EC1,0,134,136,0,264,266,284,294,296,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,213,217
PCA066-FTA,PE3,0,142,142,0,266,266,0,290,294,0,166,170,0,192,195,0,244,244,0,279,279,0,156,166,0,268,268,0,341,355,0,175,175,0,205,217
PCA067,EC1,0,136,136,0,264,266,284,294,296,0,166,170,0,192,192,0,242,244,0,270,279,0,156,156,0,268,268,0,331,355,0,173,175,204,213,217
PCA068-FTA,PE3,0,140,140,0,266,266,0,290,294,0,166,170,0,192,195,0,244,244,0,279,279,0,152,166,0,268,268,0,341,355,0,175,175,0,205,217
PCA071,EC1,0,136,136,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,213,217
PCA072,PE3,0,146,146,0,266,266,0,290,296,0,166,170,0,192,195,0,244,244,0,279,279,0,160,162,0,268,268,0,341,355,0,173,175,0,205,217
PCA073,EC1,0,140,144,0,264,266,0,284,294,0,166,170,0,192,192,0,242,244,0,270,279,0,156,156,0,268,268,0,331,355,0,173,175,204,213,221
PCA074,EC1,0,136,140,0,264,266,284,294,296,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,213,221
PCA075,EC1,0,136,136,0,264,266,284,292,294,0,166,170,0,192,192,242,244,246,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,213,217
PCA076,EC1,0,136,136,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,213,217
PCA077,EC1,0,132,136,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,213,217
PCA078,EC1,0,140,140,0,264,266,284,294,296,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,213,221
PCA079,PE3,0,146,146,0,266,266,0,290,294,0,166,166,0,192,195,0,244,244,0,279,279,0,156,162,0,268,268,0,341,355,0,175,175,0,205,217
PCA080,PE3,0,150,150,0,266,266,0,290,294,0,166,166,0,192,195,0,244,244,0,279,279,0,156,166,0,268,268,0,341,355,0,175,175,0,205,217
PCA081,PE3,0,148,148,0,266,266,0,290,294,0,166,170,0,192,195,0,244,244,0,279,279,0,156,166,0,268,268,0,341,355,0,175,175,0,205,217
PCA082,PE3,0,150,150,0,266,266,0,290,294,0,166,170,0,192,195,0,244,244,0,279,279,0,156,166,0,268,268,0,341,355,0,175,175,0,205,217
PCO001-FTA,EC1,0,134,136,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,209,217
PCO002,EC1,0,134,136,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,213,217
PCO002-FTA,EC1,0,132,136,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,173,204,209,217
PCO003,EC1,0,136,136,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,213,217
PCO003-FTA,EC1,0,134,134,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,173,204,209,217
PCO004-FTA,EC1,0,136,138,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,209,217
PCO005-FTA,EC1,0,134,136,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,270,0,331,355,0,173,175,204,209,217
PCO006-FTA,EC1,0,134,136,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,266,268,0,331,355,0,173,175,204,209,217
PCO007-FTA,EC1,0,134,136,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,270,279,0,156,156,0,266,268,0,331,355,0,173,175,204,209,217
PCO008-FTA,EC1,0,134,136,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,209,217
PCO009-FTA,EC1,0,134,136,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,209,217
PCO010-FTA,EC1,0,134,136,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,209,217
PCO011-FTA,EC1,0,134,136,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,272,0,331,355,0,173,175,204,209,217
PCO012-FTA,EC1,0,134,136,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,266,268,0,331,355,0,173,173,204,209,217
PCO013-FTA,EC1,0,134,136,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,266,268,0,331,355,0,173,175,204,209,217
PCO014-FTA,EC1,0,134,136,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,209,217
PCO015-FTA,EC1,0,134,136,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,209,217
PCO016-FTA,EC1,0,134,136,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,266,268,0,331,355,0,173,175,204,209,217
PCO017-FTA,EC1,0,134,136,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,270,279,0,156,156,0,268,268,0,331,355,0,173,175,204,209,217
PCO018-FTA,EC1,0,134,136,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,270,270,0,156,156,0,268,268,0,331,355,0,173,175,204,209,217
PCO019-FTA,EC1,0,134,136,0,266,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,209,217
PCO020-FTA,EC1,0,134,136,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,209,217
PCO021-FTA,EC1,0,134,136,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,154,160,0,268,268,0,331,355,0,173,175,204,209,217
PCO022-FTA,EC1,0,134,136,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,209,217
PCO023-FTA,EC1,0,134,136,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,266,268,0,331,355,0,173,175,204,209,217
PCO024-FTA,EC1,0,134,136,0,264,266,284,292,296,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,209,217
PCO025-FTA,EC1,0,134,136,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,209,217
PCO026-FTA,EC1,0,134,136,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,209,217
PCO027-FTA,EC1,0,134,136,0,264,266,0,284,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,209,217
PCO028-FTA,EC1,0,134,140,0,264,266,284,292,296,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,209,217
PCO029-FTA,EC1,0,134,136,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,270,279,0,156,156,0,268,268,0,331,355,0,173,175,204,209,217
PCO030-FTA,EC1,0,134,136,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,266,268,0,331,355,0,173,175,204,209,217
PCO031-FTA,EC1,0,134,136,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,266,268,0,331,355,0,173,175,204,209,217
PCO032-FTA,EC1,0,134,136,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,266,268,0,331,355,0,173,175,204,209,217
PCO034-FTA,EC1,0,134,136,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,270,270,0,156,156,0,266,268,0,331,355,0,173,175,204,209,217
PCO036-FTA,EC1,0,134,136,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,270,270,0,156,156,0,268,268,0,331,355,0,173,175,204,209,217
PCO037-FTA,EC1,0,134,136,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,266,268,0,331,355,0,173,175,204,209,217
PCO038-FTA,EC1,0,136,138,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,266,268,0,331,355,0,173,175,204,209,217
PCO039-FTA,EC1,0,134,136,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,266,268,0,331,355,0,173,175,204,209,217
PCO041-FTA,EC1,0,134,136,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,270,270,0,156,156,0,266,268,0,331,355,0,173,175,204,209,217
PCO042-FTA,EC1,0,134,136,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,266,268,0,331,355,0,173,175,204,209,217
PCO091,EC1,0,134,136,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,213,217
PCO092,EC1,0,134,136,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,0,204,213
PCO093,EC1,0,134,136,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,213,217
PCO095,EC1,0,134,136,0,264,266,284,292,296,0,166,170,0,192,192,0,242,244,0,270,279,0,156,156,0,268,270,0,331,355,0,173,175,204,213,217
PCO096,EC1,0,134,136,0,264,266,284,292,296,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,270,0,331,355,0,173,175,204,213,217
PCO097,EC1,0,134,136,0,264,266,284,292,296,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,270,0,331,355,0,173,175,204,213,217
PCO098,EC1,0,134,136,0,264,266,284,292,296,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,270,0,331,355,0,173,175,204,213,217
PCO101,EC1,0,134,136,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,209,217
PCO102,EC1,0,134,136,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,209,217
PCO103,EC1,0,134,140,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,209,217
PCO104,EC1,0,136,138,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,209,217
PCO105,EC1,0,134,136,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,209,217
PCO106,EC1,0,134,136,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,209,217
PCO107,EC1,0,134,136,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,209,217
PCO108,EC1,0,136,138,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,209,217
PCO109,EC1,0,134,136,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,209,217
PCO110,EC1,0,136,138,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,209,217
PCO111,EC1,0,134,136,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,209,217
PCO112,EC1,0,134,136,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,209,217
PCO113,EC1,0,134,136,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,209,217
PCO114,EC1,0,134,136,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,209,217
PCO115,EC1,0,134,136,0,264,266,284,292,296,0,166,170,0,192,192,0,242,244,0,279,279,0,156,158,0,266,268,0,331,355,0,173,175,204,213,217
PCO116,EC1,0,134,136,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,209,217
PCO118,EC1,0,134,136,0,264,266,284,292,296,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,209,217
PCO119,EC1,0,134,136,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,209,217
PCO120,EC1,0,134,136,0,264,266,0,284,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,209,217
PCO121,EC1,0,134,140,0,264,266,284,292,296,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,209,217
PCO122,EC1,0,134,136,0,264,266,0,284,292,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,209,217
PCO123,EC1,0,134,136,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,209,217
PCO124,EC1,0,134,136,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,209,217
PCO125,EC1,0,134,136,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,209,217
PCO126,EC1,0,134,136,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,209,217
PCO127,EC1,0,134,136,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,209,217
